"","V8517","V7101","V7221"
"1231",0,0,1
"1232",1,1,0
"1233",0,0,1
"1234",0,0,1
"1235",0,1,1
"1236",0,0,1
"1237",1,1,1
"1238",1,1,0
"1239",1,0,1
"1240",0,0,1
"1241",1,0,0
"1242",0,0,1
"1243",1,0,0
"1244",0,0,0
"1245",1,0,1
"1246",1,0,1
"1247",1,0,0
"1248",0,0,0
"1249",0,0,1
"1250",0,0,1
"1251",0,0,1
"1252",0,0,0
"1253",0,0,0
"1254",1,1,0
"1255",0,0,0
"1256",0,0,1
"1257",0,1,0
"1258",0,0,1
"1259",0,0,0
"1260",1,1,1
"1261",0,0,0
"1262",0,0,0
"1263",0,0,1
"1264",0,0,1
"1265",0,0,1
"1266",1,1,0
"1267",0,1,0
"1268",0,1,1
"1269",1,0,1
"1270",0,0,0
"1271",0,0,0
"1272",0,0,0
"1273",0,0,1
"1274",0,0,1
"1275",0,0,0
"1276",0,0,0
"1277",0,0,0
"1278",0,1,1
"1279",0,0,0
"1280",0,1,1
"1281",0,0,1
"1282",0,0,1
"1283",0,0,1
"1284",0,0,1
"1285",0,1,1
"1286",0,1,0
"1287",1,0,0
"1288",0,0,1
"1289",1,0,1
"1290",1,0,0
"1291",1,1,0
"1292",1,1,1
"1293",1,0,1
"1294",0,0,1
"1295",0,0,1
"1296",0,0,1
"1297",0,0,1
"1298",0,0,1
"1299",0,0,1
"1300",0,1,0
"1301",0,0,0
"1302",1,0,1
"1303",0,1,0
"1304",0,1,0
"1305",0,1,0
"1306",1,0,0
"1307",0,0,1
"1308",0,1,1
"1309",0,0,1
"1310",0,0,1
"1311",0,1,0
"1312",1,0,1
"1313",0,0,1
"1314",0,0,1
"1315",1,0,1
"1316",0,0,1
"1317",0,0,1
"1318",0,0,1
"1319",0,0,0
"1320",0,0,1
"1321",0,0,1
"1322",0,0,1
"1323",1,1,1
"1324",0,1,0
"1325",0,0,0
"1326",0,1,1
"1327",0,0,0
"1328",0,1,1
"1329",0,1,1
"1330",0,0,0
"1331",0,0,1
"1332",0,0,1
"1333",0,0,1
"1334",0,1,0
"1335",0,0,1
"1336",0,0,0
"1337",0,0,0
"1338",0,1,0
"1339",0,0,1
"1340",0,1,0
"1341",1,1,0
"1342",0,0,1
"1343",0,1,0
"1344",0,0,0
"1345",0,0,0
"1346",0,0,1
"1347",0,1,1
"1348",1,0,0
"1349",0,0,1
"1350",0,1,1
"1351",0,0,1
"1352",1,1,1
"1353",0,0,1
"1354",0,0,1
"1355",0,1,1
"1356",0,0,1
"1357",0,0,1
"1358",0,0,1
"1359",0,0,0
"1360",1,1,0
"1361",0,0,1
"1362",0,0,1
"1363",0,0,1
"1364",1,1,1
"1365",0,0,0
"1366",0,0,0
"1367",0,0,1
"1368",0,0,1
"1369",0,0,0
"1370",0,0,1
"1371",0,0,1
"1372",0,0,1
"1373",0,0,0
"1374",0,1,1
"1375",0,1,0
"1376",0,0,1
"1377",0,0,1
"1378",0,0,1
"1379",0,0,1
"1380",0,0,1
"1381",0,0,0
"1382",0,0,1
"1383",0,0,1
"1384",1,1,1
"1385",0,0,1
"1386",0,0,1
"1387",0,0,1
"1388",0,0,1
"1389",0,0,1
"1390",0,1,1
"1391",0,0,1
"1392",0,1,1
"1393",0,0,1
"1394",0,0,1
"1395",0,0,1
"1396",0,0,0
"1397",0,1,0
"1398",0,0,1
"1399",0,0,1
"1400",1,0,0
"1401",0,0,1
"1402",0,0,0
"1403",0,0,1
"1404",0,0,0
"1405",0,0,1
"1406",0,0,1
"1407",1,0,0
"1408",1,0,0
"1409",0,0,0
"1410",0,0,1
"1411",0,0,0
"1412",1,0,0
"1413",0,0,1
"1414",0,1,1
"1415",0,0,1
"1416",1,0,1
"1417",0,1,1
"1418",0,0,0
"1419",0,0,0
"1420",0,0,0
"1421",1,0,0
"1422",0,0,1
"1423",0,0,0
"1424",1,0,0
"1425",0,0,1
"1426",0,1,1
"1427",0,0,1
"1428",0,0,0
"1429",1,0,0
"1430",0,0,1
"1431",0,0,0
"1432",0,0,1
"1433",0,0,1
"1434",0,0,1
"1435",0,0,1
"1436",1,1,0
"1437",0,0,1
"1438",0,1,0
"1439",0,0,1
"1440",0,0,1
"1441",0,0,1
"1442",0,1,0
"1443",0,0,1
"1444",0,0,0
"1445",0,1,0
"1446",0,0,1
"1447",0,0,1
"1448",1,0,0
"1449",0,1,1
"1450",1,0,0
"1451",0,0,1
"1452",0,0,1
"1453",0,0,0
"1454",0,0,1
"1455",1,0,1
"1456",0,0,0
"1457",0,0,1
"1458",1,0,0
"1459",0,0,1
"1460",1,1,1
"1461",0,1,1
"1462",0,1,0
"1463",0,0,1
"1464",1,1,0
"1465",0,0,1
"1466",1,0,0
"1467",1,0,0
"1468",0,0,1
"1469",1,0,1
"1470",1,1,0
"1471",0,0,0
"1472",0,0,1
"1473",0,0,1
"1474",0,1,0
"1475",0,1,1
"1476",1,0,1
"1477",0,0,0
"1478",0,0,0
"1479",0,1,0
"1480",0,0,0
"1481",0,0,0
"1482",0,0,0
"1483",0,1,0
"1484",1,1,0
"1485",0,0,1
"1486",0,0,1
"1487",0,0,1
"1488",0,0,0
"1489",0,1,0
"1490",0,0,1
"1491",0,0,1
"1492",0,0,1
