"","V8517","V8502","V8527","V7552","V8512"
"1023",1,1,1,1,1
"1024",0,0,0,0,1
"1025",0,0,1,0,1
"1026",0,0,0,1,1
"1027",0,0,1,1,1
"1028",0,0,1,0,1
"1029",0,0,1,1,1
"1030",0,1,1,0,1
"1031",0,0,1,1,1
"1032",0,0,1,1,1
"1033",0,0,1,1,1
"1034",0,0,0,0,1
"1035",0,0,0,1,1
"1036",0,0,1,0,1
"1037",0,0,0,0,0
"1038",1,1,1,1,0
"1039",0,0,1,1,1
"1040",0,0,1,0,1
"1041",0,0,0,1,1
"1042",0,0,1,1,1
"1043",0,0,0,1,0
"1044",1,0,0,1,1
"1045",0,0,1,0,1
"1046",0,1,1,1,0
"1047",1,1,0,1,1
"1048",0,1,1,1,1
"1049",0,0,1,1,1
"1050",0,1,1,0,0
"1051",0,0,1,0,1
"1052",0,0,1,1,1
"1053",0,0,0,0,1
"1054",0,0,1,0,1
"1055",0,1,1,0,0
"1056",0,0,1,0,1
"1057",0,0,0,1,1
"1058",0,0,0,1,1
"1059",0,0,1,0,1
"1060",1,0,0,0,1
"1061",1,0,1,1,1
"1062",0,0,1,1,1
"1063",1,0,1,1,1
