"","V7118","V8502","V8512","V8509","V8530","V7215"
"841",1,0,0,0,0,1
"842",0,0,0,0,1,1
"843",1,0,1,0,1,1
"844",0,0,0,0,0,1
"845",0,0,1,0,1,1
"846",0,0,1,0,1,1
"847",1,0,0,0,0,0
"848",1,0,1,0,1,1
"849",1,0,0,0,0,1
"850",1,1,1,1,0,0
"851",1,0,0,0,0,0
"852",1,0,0,0,0,0
"853",1,0,1,0,0,0
"854",1,0,0,0,0,1
"855",0,0,0,0,0,1
"856",0,0,0,0,0,1
"857",1,0,0,0,0,1
"858",0,0,0,0,0,0
"859",0,0,1,0,0,0
"860",0,0,0,0,0,0
"861",1,0,0,0,0,0
"862",1,1,0,0,0,0
"863",1,0,0,0,0,0
"864",0,0,1,0,1,1
"865",1,0,0,0,1,0
"866",0,0,0,0,0,0
"867",1,1,0,1,0,0
"868",1,0,0,0,1,0
"869",0,0,0,0,0,1
"870",0,0,0,0,0,1
"871",1,0,0,0,0,0
"872",0,0,0,0,0,1
"873",1,0,0,0,0,0
"874",0,0,0,0,0,1
"875",1,0,0,0,0,1
"876",0,0,0,0,1,0
"877",1,1,0,1,0,1
"878",1,0,0,0,0,1
"879",1,1,0,1,0,0
"880",1,0,0,0,0,0
"881",1,0,0,0,0,0
"882",0,0,0,0,0,0
"883",1,0,0,0,0,0
"884",1,0,1,0,1,0
"885",1,0,1,0,1,1
"886",0,0,0,0,0,1
"887",1,1,0,1,0,0
"888",0,0,0,0,0,0
"889",0,0,0,0,0,1
"890",1,0,0,0,0,1
"891",0,0,0,0,0,0
"892",1,0,0,0,0,0
"893",0,0,0,0,0,0
"894",0,0,0,0,0,0
"895",1,0,0,0,0,1
"896",1,0,0,0,0,0
"897",0,0,0,0,0,0
"898",0,0,0,0,0,0
"899",1,1,0,0,0,0
"900",1,0,0,0,0,0
"901",1,0,0,0,0,1
"902",0,1,1,1,1,1
"903",0,0,1,0,0,0
"904",1,0,0,0,0,0
"905",1,0,0,0,0,0
"906",0,0,0,0,0,0
"907",1,0,1,0,0,0
"908",0,0,0,0,0,1
"909",0,0,0,0,0,0
"910",1,0,1,0,1,1
"911",0,1,0,1,0,1
"912",1,0,0,0,0,1
"913",0,0,0,0,0,0
"914",1,1,1,0,1,1
"915",1,0,0,0,0,0
"916",0,0,0,0,0,0
"917",0,0,1,0,1,1
"918",0,0,0,0,0,0
"919",0,0,0,0,0,1
"920",1,0,0,0,0,1
"921",1,0,0,0,0,0
"922",1,0,0,0,0,1
"923",1,1,1,1,0,0
"924",0,0,0,0,0,0
